,0,1
87,Homeostatic plasticity in Bayesian spiking networks as Expectation Maximization with posterior constraints.,"Stefan Habenschuss,Johannes Bill,Bernhard Nessler,"
88,Clustering Aggregation as Maximum-Weight Independent Set.,"Nan Li,Longin Jan Latecki,"
89,Topology Constraints in Graphical Models.,"Marcelo Fiori,Pablo Musé,Guillermo Sapiro,"
90,Transelliptical Graphical Models.,"Han Liu,Fang Han,Cun-Hui Zhang,"
91,Kernel Latent SVM for Visual Recognition.,"Weilong Yang,Yang Wang,Arash Vahdat,Greg Mori,"
92,Learning Partially Observable Models Using Temporally Abstract Decision Trees.,"Erik Talvitie,"
93,Proximal Newton-type methods for convex optimization.,"Jason D. Lee,Yuekai Sun,Michael A. Saunders,"
94,Regularized Off-Policy TD-Learning.,"Bo Liu,Sridhar Mahadevan,Ji Liu,"
95,Multi-criteria Anomaly Detection using Pareto Depth Analysis.,"Ko-Jen Hsiao,Kevin S. Xu,Jeff Calder,Alfred O. Hero III,"
96,Synchronization can Control Regularization in Neural Systems via Correlated Noise Processes.,"Jake V. Bouvrie,Jean-Jacques E. Slotine,"
97,Calibrated Elastic Regularization in Matrix Completion.,"Tingni Sun,Cun-Hui Zhang,"
98,Predicting Action Content On-Line and in Real Time before Action Onset - an Intracranial Human Study.,"Uri Maoz,Shengxuan Ye,Ian B. Ross,Adam N. Mamelak,Christof Koch,"
99,Searching for objects driven by context.,"Bogdan Alexe,Nicolas Heess,Yee Whye Teh,Vittorio Ferrari,"
100,Timely Object Recognition.,"Sergey Karayev,Tobias Baumgartner,Mario Fritz,Trevor Darrell,"
101,Nonparanormal Belief Propagation (NPNBP).,"Gal Elidan,Cobi Cario,"
102,Deep Representations and Codes for Image Auto-Annotation.,"Ryan Kiros,Csaba Szepesvári,"
103,A Spectral Algorithm for Latent Dirichlet Allocation.,"Anima Anandkumar,Dean P. Foster,Daniel J. Hsu,Sham M. Kakade,Yi-Kai Liu,"
104,Learning Halfspaces with the Zero-One Loss: Time-Accuracy Tradeoffs.,"Aharon Birnbaum,Shai Shalev-Shwartz,"
105,Matrix reconstruction with the local max norm.,"Rina Foygel,Nathan Srebro,Ruslan Salakhutdinov,"
106,Analog readout for optical reservoir computers.,"Anteo Smerieri,François Duport,Yvan Paquot,Benjamin Schrauwen,Marc Haelterman,Serge Massar,"
107,Accuracy at the Top.,"Stephen P. Boyd,Corinna Cortes,Mehryar Mohri,Ana Radovanovic,"
108,Minimizing Sparse High-Order Energies by Submodular Vertex-Cover.,"Andrew Delong,Olga Veksler,Anton Osokin,Yuri Boykov,"
109,Perfect Dimensionality Recovery by Variational Bayesian PCA.,"Shinichi Nakajima,Ryota Tomioka,Masashi Sugiyama,S. Derin Babacan,"
110,Mirror Descent Meets Fixed Share (and feels no regret).,"Nicolò Cesa-Bianchi,Pierre Gaillard,Gábor Lugosi,Gilles Stoltz,"
111,Near-optimal Differentially Private Principal Components.,"Kamalika Chaudhuri,Anand D. Sarwate,Kaushik Sinha,"
112,Random function priors for exchangeable arrays with applications to graphs and relational data.,"James Robert Lloyd,Peter Orbanz,Zoubin Ghahramani,Daniel M. Roy,"
113,Inverse Reinforcement Learning through Structured Classification.,"Edouard Klein,Matthieu Geist,Bilal Piot,Olivier Pietquin,"
114,Augmented-SVM: Automatic space partitioning for combining multiple non-linear dynamics.,"Ashwini Shukla,Aude Billard,"
115,Efficient Bayes-Adaptive Reinforcement Learning using Sample-Based Search.,"Arthur Guez,David Silver,Peter Dayan,"
116,Dimensionality Dependent PAC-Bayes Margin Bound.,"Chi Jin,Liwei Wang,"
117,Latent Graphical Model Selection: Efficient Methods for Locally Tree-like Graphs.,"Animashree Anandkumar,Ragupathyraj Valluvan,"
118,Learning Mixtures of Tree Graphical Models.,"Animashree Anandkumar,Daniel J. Hsu,Furong Huang,Sham M. Kakade,"
119,Hamming Distance Metric Learning.,"Mohammad Norouzi,David J. Fleet,Ruslan Salakhutdinov,"
120,Spiking and saturating dendrites differentially expand single neuron computation capacity.,"Romain Daniel Cazé,Mark D. Humphries,Boris S. Gutkin,"
121,Clustering by Nonnegative Matrix Factorization Using Graph Random Walk.,"Zhirong Yang,Tele Hao,Onur Dikmen,Xi Chen,Erkki Oja,"
122,Delay Compensation with Dynamical Synapses.,"C. C. Alan Fung,K. Y. Michael Wong,Si Wu,"
123,A dynamic excitatory-inhibitory network in a VLSI chip for spiking information reregistration.,"Juan Huo,"
124,ImageNet Classification with Deep Convolutional Neural Networks.,"Alex Krizhevsky,Ilya Sutskever,Geoffrey E. Hinton,"
125,Recognizing Activities by Attribute Dynamics.,"Weixin Li,Nuno Vasconcelos,"
126,Compressive Sensing MRI with Wavelet Tree Sparsity.,"Chen Chen,Junzhou Huang,"
127,Training sparse natural image models with a fast Gibbs sampler of an extended state space.,"Lucas Theis,Jascha Sohl-Dickstein,Matthias Bethge,"
128,A Bayesian Approach for Policy Learning from Trajectory Preference Queries.,"Aaron Wilson,Alan Fern,Prasad Tadepalli,"
129,GenDeR: A Generic Diversified Ranking Algorithm.,"Jingrui He,Hanghang Tong,Qiaozhu Mei,Boleslaw K. Szymanski,"
130,On Multilabel Classification and Ranking with Partial Feedback.,"Claudio Gentile,Francesco Orabona,"
131,"""The Lovasz $\theta$ function, SVMs and finding large dense subgraphs"".","Vinay Jethava,Anders Martinsson,Chiranjib Bhattacharyya,Devdatt P. Dubhashi,"
132,Multi-Task Averaging.,"Sergey Feldman,Maya R. Gupta,Bela A. Frigyik,"
133,Unsupervised Structure Discovery for Semantic Analysis of Audio.,"Sourish Chaudhuri,Bhiksha Raj,"
134,A Marginalized Particle Gaussian Process Regression.,"Yali Wang,Brahim Chaib-draa,"
135,Angular Quantization-based Binary Codes for Fast Similarity Search.,"Yunchao Gong,Sanjiv Kumar,Vishal Verma,Svetlana Lazebnik,"
136,Optimal kernel choice for large-scale two-sample tests.,"Arthur Gretton,Bharath K. Sriperumbudur,Dino Sejdinovic,Heiko Strathmann,Sivaraman Balakrishnan,Massimiliano Pontil,Kenji Fukumizu,"
137,Factoring nonnegative matrices with linear programs.,"Ben Recht,Christopher Ré,Joel A. Tropp,Victor Bittorf,"
138,Large Scale Distributed Deep Networks.,"Jeffrey Dean,Greg Corrado,Rajat Monga,Kai Chen,Matthieu Devin,Quoc V. Le,Mark Z. Mao,Marc'Aurelio Ranzato,Andrew W. Senior,Paul A. Tucker,Ke Yang,Andrew Y. Ng,"
139,Statistical Consistency of Ranking Methods in A Rank-Differentiable Probability Space.,"Yanyan Lan,Jiafeng Guo,Xueqi Cheng,Tie-Yan Liu,"
140,Wavelet based multi-scale shape features on arbitrary surfaces for cortical thickness discrimination.,"Won Hwa Kim,Deepti Pachauri,Charles Hatt,Moo K. Chung,Sterling C. Johnson,Vikas Singh,"
141,A Convex Formulation for Learning Scale-Free Networks via Submodular Relaxation.,"Aaron Defazio,Tibério S. Caetano,"
142,Fused sparsity and robust estimation for linear models with unknown variance.,"Arnak S. Dalalyan,Yin Chen,"
143,How Prior Probability Influences Decision Making: A Unifying Probabilistic Model.,"Yanping Huang,Abram L. Friesen,Timothy D. Hanks,Michael N. Shadlen,Rajesh P. N. Rao,"
144,High-Order Multi-Task Feature Learning to Identify Longitudinal Phenotypic Markers for Alzheimer's Disease Progression Prediction.,"Hua Wang,Feiping Nie,Heng Huang,Jingwen Yan,Sungeun Kim,Shannon L. Risacher,Andrew J. Saykin,Li Shen,"
145,Symmetric Correspondence Topic Models for Multilingual Text Analysis.,"Kosuke Fukumasu,Koji Eguchi,Eric P. Xing,"
146,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data.,"Michael C. Hughes,Emily B. Fox,Erik B. Sudderth,"
147,Efficient coding provides a direct link between prior and likelihood in perceptual Bayesian inference.,"Xue-Xin Wei,Alan A. Stocker,"
148,Efficient Sampling for Bipartite Matching Problems.,"Maksims Volkovs,Richard S. Zemel,"
149,Learning visual motion in recurrent neural networks.,"Marius Pachitariu,Maneesh Sahani,"
150,Learned Prioritization for Trading Off Accuracy and Speed.,"Jiarong Jiang,Adam R. Teichert,Hal Daumé III,Jason Eisner,"
151,Value Pursuit Iteration.,"Amir Massoud Farahmand,Doina Precup,"
152,"""Compressive neural representation of sparse, high-dimensional probabilities"".","Xaq Pitkow,"
153,Graphical Models via Generalized Linear Models.,"Eunho Yang,Pradeep Ravikumar,Genevera I. Allen,Zhandong Liu,"
154,CPRL -- An Extension of Compressive Sensing to the Phase Retrieval Problem.,"Henrik Ohlsson,Allen Y. Yang,Roy Dong,S. Shankar Sastry,"
155,Co-Regularized Hashing for Multimodal Data.,"Yi Zhen,Dit-Yan Yeung,"
156,Convergence and Energy Landscape for Cheeger Cut Clustering.,"Xavier Bresson,Thomas Laurent,David Uminsky,James H. von Brecht,"
157,Symbolic Dynamic Programming for Continuous State and Observation POMDPs.,"Zahra Zamani,Scott Sanner,Pascal Poupart,Kristian Kersting,"
158,Bayesian Probabilistic Co-Subspace Addition.,"Lei Shi,"
159,Scaled Gradients on Grassmann Manifolds for Matrix Completion.,"Thanh T. Ngo,Yousef Saad,"
160,Q-MKL: Matrix-induced Regularization in Multi-Kernel Learning with Applications to Neuroimaging.,"Chris Hinrichs,Vikas Singh,Jiming Peng,Sterling C. Johnson,"
161,Privacy Aware Learning.,"John C. Duchi,Michael I. Jordan,Martin J. Wainwright,"
162,Finite Sample Convergence Rates of Zero-Order Stochastic Optimization Methods.,"John C. Duchi,Michael I. Jordan,Martin J. Wainwright,Andre Wibisono,"
163,Hierarchical Optimistic Region Selection driven by Curiosity.,"Odalric-Ambrym Maillard,"
164,Sparse Prediction with the $k$-Support Norm.,"Andreas Argyriou,Rina Foygel,Nathan Srebro,"
165,Active Learning of Multi-Index Function Models.,"Hemant Tyagi,Volkan Cevher,"
166,Learning Multiple Tasks using Shared Hypotheses.,"Koby Crammer,Yishay Mansour,"
167,On-line Reinforcement Learning Using Incremental Kernel-Based Stochastic Factorization.,"André da Motta Salles Barreto,Doina Precup,Joelle Pineau,"
168,Forward-Backward Activation Algorithm for Hierarchical Hidden Markov Models.,"Kei Wakabayashi,Takao Miura,"
169,Communication-Efficient Algorithms for Statistical Optimization.,"Yuchen Zhang,John C. Duchi,Martin J. Wainwright,"
170,Identifiability and Unmixing of Latent Parse Trees.,"Daniel J. Hsu,Sham M. Kakade,Percy Liang,"
171,Bayesian nonparametric models for ranked data.,"Francois Caron,Yee Whye Teh,"
172,Feature-aware Label Space Dimension Reduction for Multi-label Classification.,"Yao-Nan Chen,Hsuan-Tien Lin,"
173,Stochastic optimization and sparse statistical recovery: Optimal algorithms for high dimensions.,"Alekh Agarwal,Sahand N. Negahban,Martin J. Wainwright,"
174,Graphical Gaussian Vector for Image Categorization.,"Tatsuya Harada,Yasuo Kuniyoshi,"
175,Joint Modeling of a Matrix with Associated Text via Latent Binary Features.,"XianXing Zhang,Lawrence Carin,"
176,Proper losses for learning from partial labels.,"Jesús Cid-Sueiro,"
177,Iterative Thresholding Algorithm for Sparse Inverse Covariance Estimation.,"Benjamin T. Rolfs,Bala Rajaratnam,Dominique Guillot,Ian Wong,Arian Maleki,"
178,Selecting Diverse Features via Spectral Regularization.,"Abhimanyu Das,Anirban Dasgupta,Ravi Kumar,"
179,Monte Carlo Methods for Maximum Margin Supervised Topic Models.,"Qixia Jiang,Jun Zhu,Maosong Sun,Eric P. Xing,"
180,Parametric Local Metric Learning for Nearest Neighbor Classification.,"Jun Wang,Alexandros Kalousis,Adam Woznica,"
181,A Linear Time Active Learning Algorithm for Link Classification.,"Nicolò Cesa-Bianchi,Claudio Gentile,Fabio Vitale,Giovanni Zappella,"
182,Bayesian Warped Gaussian Processes.,"Miguel Lázaro-Gredilla,"
183,Nonparametric Reduced Rank Regression.,"Rina Foygel,Michael Horrell,Mathias Drton,John D. Lafferty,"
184,Multiresolution analysis on the symmetric group.,"Risi Kondor,Walter Dempsey,"
185,Isotropic Hashing.,"Weihao Kong,Wu-Jun Li,"
186,On Lifting the Gibbs Sampling Algorithm.,"Deepak Venugopal,Vibhav Gogate,"
187,On the connections between saliency and tracking.,"Vijay Mahadevan,Nuno Vasconcelos,"
188,Convex Multi-view Subspace Learning.,"Martha White,Yaoliang Yu,Xinhua Zhang,Dale Schuurmans,"
189,Spectral learning of linear dynamics from generalised-linear observations with application to neural population data.,"Lars Buesing,Jakob H. Macke,Maneesh Sahani,"
190,Mixability in Statistical Learning.,"Tim van Erven,Peter D. Grünwald,Mark D. Reid,Robert C. Williamson,"
191,Waveform Driven Plasticity in BiFeO3 Memristive Devices: Model and Implementation.,"Christian Mayr,Paul Stärke,Johannes Partzsch,René Schüffny,Love Cederstroem,Yao Shuai,Nan Du,Heidemarie Schmidt,"
192,A lattice filter model of the visual pathway.,"Karol Gregor,Dmitri B. Chklovskii,"
193,Semantic Kernel Forests from Multiple Taxonomies.,"Sung Ju Hwang,Kristen Grauman,Fei Sha,"
194,Causal discovery with scale-mixture model for spatiotemporal variance dependencies.,"Zhitang Chen,Kun Zhang,Laiwan Chan,"
195,"""Natural Images, Gaussian Mixtures and Dead Leaves"".","Daniel Zoran,Yair Weiss,"
