,0
165,"Junchi Yan,Chao Zhang,Hongyuan Zha,Wei Liu,Xiaokang Yang,Stephen M. Chu,"
166,"Shuochen Su,Wolfgang Heidrich,"
167,"Alexey Dosovitskiy,Jost Tobias Springenberg,Thomas Brox,"
168,"Hae-Gon Jeon,Jaesik Park,Gyeongmin Choe,Jinsun Park,Yunsu Bok,Yu-Wing Tai,In So Kweon,"
169,"Fang Zhao,Yongzhen Huang,Liang Wang,Tieniu Tan,"
170,"Dapeng Chen,Zejian Yuan,Gang Hua,Nanning Zheng,Jingdong Wang,"
171,"Philipp Krahenbuhl,Vladlen Koltun,"
172,"Haoyu Ren,Ze-Nian Li,"
173,"Jure Zbontar,Yann LeCun,"
174,"Yuanjun Xiong,Kai Zhu,Dahua Lin,Xiaoou Tang,"
175,"Shuang Yang,Chunfeng Yuan,Baoxin Wu,Weiming Hu,Fangshi Wang,"
176,"Yu-Xiong Wang,Martial Hebert,"
177,"Abed Malti,Adrien Bartoli,Richard Hartley,"
178,"Guillaume Bourmaud,Remi Megret,"
179,"Minsik Lee,Jieun Lee,Hyeogjin Lee,Nojun Kwak,"
180,"Chao-Tsung Huang,"
181,"Di Lin,Xiaoyong Shen,Cewu Lu,Jiaya Jia,"
182,"Pei-Lun Hsieh,Chongyang Ma,Jihun Yu,Hao Li,"
183,"Tao Yue,Jinli Suo,Jue Wang,Xun Cao,Qionghai Dai,"
184,"Yair Movshovitz-Attias,Qian Yu,Martin C. Stumpe,Vinay Shet,Sacha Arnoud,Liron Yatziv,"
185,"Ohad Fried,Eli Shechtman,Dan B. Goldman,Adam Finkelstein,"
186,"Pedro O. Pinheiro,Ronan Collobert,"
187,"Fisher Yu,Jianxiong Xiao,Thomas Funkhouser,"
188,"Sam Hallman,Charless C. Fowlkes,"
189,"Liang Zheng,Shengjin Wang,Lu Tian,Fei He,Ziqiong Liu,Qi Tian,"
190,"Shanshan Zhang,Rodrigo Benenson,Bernt Schiele,"
191,"Kangwei Liu,Junge Zhang,Peipei Yang,Kaiqi Huang,"
192,"Jimei Yang,Brian Price,Scott Cohen,Zhe Lin,Ming-Hsuan Yang,"
193,"Yinqiang Zheng,Imari Sato,Yoichi Sato,"
194,"Jianyu Wang,Alan L. Yuille,"
195,"Zhongwen Xu,Yi Yang,Alex G. Hauptmann,"
196,"Akihiko Torii,Relja Arandjelovic,Josef Sivic,Masatoshi Okutomi,Tomas Pajdla,"
197,"Arturo Deza,Devi Parikh,"
198,"Makarand Tapaswi,Martin Bauml,Rainer Stiefelhagen,"
199,"Hui Chen,Jiangdong Li,Fengjun Zhang,Yang Li,Hongan Wang,"
200,"Sakrapee Paisitkriangkrai,Chunhua Shen,Anton van den Hengel,"
201,"Yonggang Qi,Yi-Zhe Song,Tao Xiang,Honggang Zhang,Timothy Hospedales,Yi Li,Jun Guo,"
202,"Jeong-Kyun Lee,Kuk-Jin Yoon,"
203,"Fang Wang,Le Kang,Yi Li,"
204,"Na Tong,Huchuan Lu,Xiang Ruan,Ming-Hsuan Yang,"
205,"Abhijit Bendale,Terrance Boult,"
206,"Yu Xiang,Wongun Choi,Yuanqing Lin,Silvio Savarese,"
207,"Zhirong Wu,Shuran Song,Aditya Khosla,Fisher Yu,Linguang Zhang,Xiaoou Tang,Jianxiong Xiao,"
208,"Kuang-Jui Hsu,Yen-Yu Lin,Yung-Yu Chuang,"
209,"Brendan F. Klare,Ben Klein,Emma Taborsky,Austin Blanton,Jordan Cheney,Kristen Allen,Patrick Grother,Alan Mah,Anil K. Jain,"
210,"Michael W. Tao,Pratul P. Srinivasan,Jitendra Malik,Szymon Rusinkiewicz,Ravi Ramamoorthi,"
211,"Xiao-Ming Wu,Zhenguo Li,Shih-Fu Chang,"
212,"Amara Tariq,Hassan Foroosh,"
213,"Abhishek Kar,Shubham Tulsiani,Joao Carreira,Jitendra Malik,"
214,"Hang Su,Zhaozheng Yin,Takeo Kanade,Seungil Huh,"
215,"Xiangyu Zhang,Jianhua Zou,Xiang Ming,Kaiming He,Jian Sun,"
216,"Gunhee Kim,Seungwhan Moon,Leonid Sigal,"
217,"Fan Zhang,Feng Liu,"
218,"Andras Bodis-Szomoru,Hayko Riemenschneider,Luc Van Gool,"
219,"Tali Dekel,Shaul Oron,Michael Rubinstein,Shai Avidan,William T. Freeman,"
220,"Tatsunori Taniai,Yasuyuki Matsushita,Takeshi Naemura,"
221,"Davide Conigliaro,Paolo Rota,Francesco Setti,Chiara Bassetti,Nicola Conci,Nicu Sebe,Marco Cristani,"
222,"Wen Wang,Ruiping Wang,Zhiwu Huang,Shiguang Shan,Xilin Chen,"
223,"Georgios Georgiadis,Alessandro Chiuso,Stefano Soatto,"
224,"Li Shen,Teck Wee Chua,Karianto Leman,"
225,"Maximilian Baust,Laurent Demaret,Martin Storath,Nassir Navab,Andreas Weinmann,"
226,"Damien Teney,Matthew Brown,Dmitry Kit,Peter Hall,"
227,"Baohua Li,Ying Zhang,Zhouchen Lin,Huchuan Lu,"
228,"Seungryong Kim,Dongbo Min,Bumsub Ham,Seungchul Ryu,Minh N. Do,Kwanghoon Sohn,"
229,"Horst Possegger,Thomas Mauthner,Horst Bischof,"
230,"Olga Russakovsky,Li-Jia Li,Li Fei-Fei,"
