,0
120,"Aisha Urooj,Ali Borji,"
121,"Favyen Bastani,Songtao He,Sofiane Abbar,Mohammad Alizadeh,Hari Balakrishnan,Sanjay Chawla,Sam Madden,David DeWitt,"
122,"Mrinal K. Paul,Stergios I. Roumeliotis,"
123,"Konstantinos Rematas,Ira Kemelmacher-Shlizerman,Brian Curless,Steve Seitz,"
124,"Changha Shin,Hae-Gon Jeon,Youngjin Yoon,In So Kweon,Seon Joo Kim,"
125,"Zhetong Liang,Jun Xu,David Zhang,Zisheng Cao,Lei Zhang,"
126,"Shijie Nie,Lin Gu,Yinqiang Zheng,Antony Lam,Nobutaka Ono,Imari Sato,"
127,"Renjie Wan,Boxin Shi,Ling-Yu Duan,Ah-Hwee Tan,Alex C. Kot,"
128,"Xuaner Zhang,Ren Ng,Qifeng Chen,"
129,"Yizhen Lao,Omar Ait-Aider,"
130,"Kenichiro Tanaka,Nobuhiro Ikeya,Tsuyoshi Takatani,Hiroyuki Kubo,Takuya Funatomi,Yasuhiro Mukaigawa,"
131,"Kourosh Meshgi,Shigeyuki Oba,Shin Ishii,"
132,"Akash Bapat,True Price,Jan-Michael Frahm,"
133,"Anfeng He,Chong Luo,Xinmei Tian,Wenjun Zeng,"
134,"Ning Wang,Wengang Zhou,Qi Tian,Richang Hong,Meng Wang,Houqiang Li,"
135,"Qiang Wang,Zhu Teng,Junliang Xing,Jin Gao,Weiming Hu,Stephen Maybank,"
136,"Xiao Wang,Chenglong Li,Bin Luo,Jin Tang,"
137,"Ming Tang,Bin Yu,Fan Zhang,Jinqiao Wang,"
138,"Yang Wang,Yi Yang,Zhenheng Yang,Liang Zhao,Peng Wang,Wei Xu,"
139,"Wenguan Wang,Jianbing Shen,Fang Guo,Ming-Ming Cheng,Ali Borji,"
140,"Feng Li,Cheng Tian,Wangmeng Zuo,Lei Zhang,Ming-Hsuan Yang,"
141,"Giorgos Bouritsas,Petros Koutras,Athanasia Zlatintsi,Petros Maragos,"
142,"Jialiang Zhang,Soroosh Khoram,Jing Li,"
143,"Himalaya Jain,Joaquin Zepeda,Patrick Pérez,Rémi Gribonval,"
144,"David Mascharka,Philip Tran,Ryan Soklaski,Arjun Majumdar,"
145,"Xiaojun Xu,Xinyun Chen,Chang Liu,Anna Rohrbach,Trevor Darrell,Dawn Song,"
146,"Hanzhang Wang,Hanli Wang,Kaisheng Xu,"
147,"Aishwarya Agrawal,Dhruv Batra,Devi Parikh,Aniruddha Kembhavi,"
148,"Jiwoon Ahn,Suha Kwak,"
149,"David F. Fouhey,Wei-cheng Kuo,Alexei A. Efros,Jitendra Malik,"
150,"Naoto Inoue,Ryosuke Furuta,Toshihiko Yamasaki,Kiyoharu Aizawa,"
151,"Asako Kanezaki,Yasuyuki Matsushita,Yoshifumi Nishida,"
152,"Tong He,Zhi Tian,Weilin Huang,Chunhua Shen,Yu Qiao,Changming Sun,"
153,"Tatjana Chavdarova,Pierre Baqué,Stéphane Bouquet,Andrii Maksai,Cijo Jose,Timur Bagautdinov,Louis Lettry,Pascal Fua,Luc Van Gool,François Fleuret,"
154,"Xin Miao,Xiantong Zhen,Xianglong Liu,Cheng Deng,Vassilis Athitsos,Heng Huang,"
155,"Qianru Sun,Liqian Ma,Seong Joon Oh,Luc Van Gool,Bernt Schiele,Mario Fritz,"
156,"Jae Shin Yoon,Ziwei Li,Hyun Soo Park,"
157,"Shizhong Han,Zibo Meng,Zhiyuan Li,James O'Reilly,Jie Cai,Xiaofeng Wang,Yan Tong,"
158,"Gyeongsik Moon,Ju Yong Chang,Kyoung Mu Lee,"
159,"Yutong Zheng,Dipan K. Pal,Marios Savvides,"
160,"Houjing Huang,Dangwei Li,Zhang Zhang,Xiaotang Chen,Kaiqi Huang,"
161,"Yong Zhang,Weiming Dong,Bao-Gang Hu,Qiang Ji,"
162,"Shiyang Cheng,Irene Kotsia,Maja Pantic,Stefanos Zafeiriou,"
163,"Chenchen Zhu,Ran Tao,Khoa Luu,Marios Savvides,"
164,"Diogo C. Luvizon,David Picard,Hedi Tabia,"
165,"Chengde Wan,Thomas Probst,Luc Van Gool,Angela Yao,"
166,"Zhun Zhong,Liang Zheng,Zhedong Zheng,Shaozi Li,Yi Yang,"
167,"Mykhaylo Andriluka,Umar Iqbal,Eldar Insafutdinov,Leonid Pishchulin,Anton Milan,Juergen Gall,Bernt Schiele,"
168,"Yu Wu,Yutian Lin,Xuanyi Dong,Yan Yan,Wanli Ouyang,Yi Yang,"
169,"Kaidi Cao,Yu Rong,Cheng Li,Xiaoou Tang,Chen Change Loy,"
170,"Jiang Liu,Chenqiang Gao,Deyu Meng,Alexander G. Hauptmann,"
171,"Yue Luo,Jimmy Ren,Zhouxia Wang,Wenxiu Sun,Jinshan Pan,Jianbo Liu,Jiahao Pang,Liang Lin,"
172,"Feng Liu,Ronghang Zhu,Dan Zeng,Qijun Zhao,Xiaoming Liu,"
173,"Chen Li,Zhen Zhang,Wee Sun Lee,Gim Hee Lee,"
174,"Pradyumna Narayana,Ross Beveridge,Bruce A. Draper,"
175,"Zan Shen,Yi Xu,Bingbing Ni,Minsi Wang,Jianguo Hu,Xiaokang Yang,"
176,"Wei Yang,Wanli Ouyang,Xiaolong Wang,Jimmy Ren,Hongsheng Li,Xiaogang Wang,"
177,"Hao Wang,Yitong Wang,Zheng Zhou,Xing Ji,Dihong Gong,Jingchao Zhou,Zhifeng Li,Wei Liu,"
178,"Yanyu Xu,Zhixin Piao,Shenghua Gao,"
179,"Hongyu Pan,Hu Han,Shiguang Shan,Xilin Chen,"
180,"Dennis Madsen,Marcel Lüthi,Andreas Schneider,Thomas Vetter,"
181,"AJ Piergiovanni,Michael S. Ryoo,"
182,"Yali Wang,Lei Zhou,Yu Qiao,"
183,"Yansong Tang,Yi Tian,Jiwen Lu,Peiyang Li,Jie Zhou,"
184,"Yanyu Xu,Yanbing Dong,Junru Wu,Zhengzhong Sun,Zhiru Shi,Jingyi Yu,Shenghua Gao,"
185,"Yazan Abu Farha,Alexander Richard,Juergen Gall,"
186,"Weihong Ren,Di Kang,Yandong Tang,Antoni B. Chan,"
187,"Jianlou Si,Honggang Zhang,Chun-Guang Li,Jason Kuen,Xiangfei Kong,Alex C. Kot,Gang Wang,"
188,"Jiahuan Zhou,Bing Su,Ying Wu,"
189,"Zenglin Shi,Le Zhang,Yun Liu,Xiaofeng Cao,Yangdong Ye,Ming-Ming Cheng,Guoyan Zheng,"
190,"Mihai Zanfir,Alin-Ionut Popa,Andrei Zanfir,Cristian Sminchisescu,"
191,"Haoliang Li,Sinno Jialin Pan,Shiqi Wang,Alex C. Kot,"
192,"Jia-Ren Chang,Yong-Sheng Chen,"
193,"Ana I. Maqueda,Antonio Loquercio,Guillermo Gallego,Narciso García,Davide Scaramuzza,"
194,"Hexiang Hu,Wei-Lun Chao,Fei Sha,"
195,"Zijun Wei,Jianming Zhang,Xiaohui Shen,Zhe Lin,Radomír Mech,Minh Hoai,Dimitris Samaras,"
196,"Kuang-Huei Lee,Xiaodong He,Lei Zhang,Linjun Yang,"
197,"Shuai Li,Wanqing Li,Chris Cook,Ce Zhu,Yanbo Gao,"
198,"Yaxing Wang,Joost van de Weijer,Luis Herranz,"
199,"Garoe Dorta,Sara Vicente,Lourdes Agapito,Neill D. F. Campbell,Ivor Simpson,"
200,"Yuji Tokozume,Yoshitaka Ushiku,Tatsuya Harada,"
201,"Riccardo Volpi,Pietro Morerio,Silvio Savarese,Vittorio Murino,"
202,"Jiahui Yu,Zhe Lin,Jimei Yang,Xiaohui Shen,Xin Lu,Thomas S. Huang,"
203,"Gopal Sharma,Rishabh Goyal,Difan Liu,Evangelos Kalogerakis,Subhransu Maji,"
204,"Jianxin Lin,Yingce Xia,Tao Qin,Zhibo Chen,Tie-Yan Liu,"
205,"D. Khuê Lê-Huu,Nikos Paragios,"
206,"Yongqin Xian,Tobias Lorenz,Bernt Schiele,Zeynep Akata,"
207,"Daiki Tanaka,Daiki Ikami,Toshihiko Yamasaki,Kiyoharu Aizawa,"
208,"Jyoti Aneja,Aditya Deshpande,Alexander G. Schwing,"
209,"Zhanzhan Cheng,Yangliu Xu,Fan Bai,Yi Niu,Shiliang Pu,Shuigeng Zhou,"
210,"Anton Mallasto,Aasa Feragen,"
211,"Chuang Gan,Boqing Gong,Kun Liu,Hao Su,Leonidas J. Guibas,"
212,"Michael Firman,Neill D. F. Campbell,Lourdes Agapito,Gabriel J. Brostow,"
213,"Muhammad Abdullah Jamal,Haoxiang Li,Boqing Gong,"
214,"Takumi Kobayashi,"
215,"Mohammadreza Mostajabi,Michael Maire,Gregory Shakhnarovich,"
216,"Samuel Rota Bulò,Lorenzo Porzi,Peter Kontschieder,"
217,"Kushal Kafle,Brian Price,Scott Cohen,Christopher Kanan,"
218,"Shuang Ma,Jianlong Fu,Chang Wen Chen,Tao Mei,"
219,"Reza Mahjourian,Martin Wicke,Anelia Angelova,"
220,"Xuebo Liu,Ding Liang,Shi Yan,Dagui Chen,Yu Qiao,Junjie Yan,"
221,"Mason Liu,Menglong Zhu,"
222,"Fang Zhao,Jianshu Li,Jian Zhao,Jiashi Feng,"
223,"Filip Radenović,Ahmet Iscen,Giorgos Tolias,Yannis Avrithis,Ondřej Chum,"
224,"Wei-Lun Chao,Hexiang Hu,Fei Sha,"
225,"Kyungdon Joo,Tae-Hyun Oh,In So Kweon,Jean-Charles Bazin,"
226,"Quanzeng You,Zhengyou Zhang,Jiebo Luo,"
227,"Ruiyu Li,Kaican Li,Yi-Chun Kuo,Michelle Shu,Xiaojuan Qi,Xiaoyong Shen,Jiaya Jia,"
228,"Unnat Jain,Svetlana Lazebnik,Alexander G. Schwing,"
229,"Yunhan Shen,Rongrong Ji,Shengchuan Zhang,Wangmeng Zuo,Yan Wang,"
230,"Piotr Koniusz,Hongguang Zhang,Fatih Porikli,"
231,"Wen-Yan Lin,Siying Liu,Jian-Huang Lai,Yasuyuki Matsushita,"
232,"Maoqing Tian,Shuai Yi,Hongsheng Li,Shihua Li,Xuesen Zhang,Jianping Shi,Junjie Yan,Xiaogang Wang,"
233,"Yin Cui,Guandao Yang,Andreas Veit,Xun Huang,Serge Belongie,"
234,"Zhishuai Zhang,Siyuan Qiao,Cihang Xie,Wei Shen,Bo Wang,Alan L. Yuille,"
235,"Hang Qi,Matthew Brown,David G. Lowe,"
236,"Rowan Zellers,Mark Yatskar,Sam Thomson,Yejin Choi,"
237,"Qingyang Tan,Lin Gao,Yu-Kun Lai,Shihong Xia,"
238,"Aditya Dhawale,Kumar Shaurya Shankar,Nathan Michael,"
239,"Peng Wang,Ruigang Yang,Binbin Cao,Wei Xu,Yuanqing Lin,"
240,"Yiping Chen,Jingkang Wang,Jonathan Li,Cewu Lu,Zhipeng Luo,Han Xue,Cheng Wang,"
241,"Alexander Sage,Eirikur Agustsson,Radu Timofte,Luc Van Gool,"
242,"Gedas Bertasius,Aaron Chan,Jianbo Shi,"
243,"Siyuan Qi,Yixin Zhu,Siyuan Huang,Chenfanfu Jiang,Song-Chun Zhu,"
244,"Minghui Liao,Zhen Zhu,Baoguang Shi,Gui-song Xia,Xiang Bai,"
245,"Andreas Veit,Maximilian Nickel,Serge Belongie,Laurens van der Maaten,"
246,"Jongchan Park,Joon-Young Lee,Donggeun Yoo,In So Kweon,"
247,"Ruohan Gao,Bo Xiong,Kristen Grauman,"
248,"De-An Huang,Shyamal Buch,Lucio Dery,Animesh Garg,Li Fei-Fei,Juan Carlos Niebles,"
249,"Kirill Gavrilyuk,Amir Ghodrati,Zhenyang Li,Cees G. M. Snoek,"
250,"Rafael Possas,Sheila Pinto Caceres,Fabio Ramos,"
251,"Linchao Bao,Baoyuan Wu,Wei Liu,"
252,"Alexander Richard,Hilde Kuehne,Juergen Gall,"
253,"Yule Li,Jianping Shi,Dahua Lin,"
254,"Huanyu Yu,Shuo Cheng,Bingbing Ni,Minsi Wang,Jian Zhang,Xiaokang Yang,"
